PROVINCIA,age,year_test,cases_p
BELLAVISTA,a. <40,2021,366
BELLAVISTA,b. 40-60,2020,384
BELLAVISTA,b. 40-60,2021,306
BELLAVISTA,c. >60,2020,180
BELLAVISTA,c. >60,2021,150
BOLIVAR,a. <40,2020,12
BOLIVAR,a. <40,2021,81
BOLIVAR,b. 40-60,2020,5
BOLIVAR,b. 40-60,2021,65
BOLIVAR,c. >60,2020,1
BOLIVAR,c. >60,2021,39
BOLOGNESI,a. <40,2020,120
BOLOGNESI,a. <40,2021,514
BOLOGNESI,b. 40-60,2020,69
BOLOGNESI,b. 40-60,2021,346
BOLOGNESI,c. >60,2020,53
BOLOGNESI,c. >60,2021,234
BONGARA,a. <40,2020,201
BONGARA,a. <40,2021,507
BONGARA,b. 40-60,2020,123
BONGARA,b. 40-60,2021,300
BONGARA,c. >60,2020,63
BONGARA,c. >60,2021,165
CAJABAMBA,a. <40,2020,308
CAJABAMBA,a. <40,2021,820
CAJABAMBA,b. 40-60,2020,193
CAJABAMBA,b. 40-60,2021,505
CAJABAMBA,c. >60,2020,142
CAJABAMBA,c. >60,2021,359
CAJAMARCA,a. <40,2020,5209
CAJAMARCA,a. <40,2021,8839
CAJAMARCA,b. 40-60,2020,2755
CAJAMARCA,b. 40-60,2021,4623
CAJAMARCA,c. >60,2020,1235
CAJAMARCA,c. >60,2021,1884
CAJATAMBO,a. <40,2020,14
CAJATAMBO,a. <40,2021,132
CAJATAMBO,b. 40-60,2020,14
CAJATAMBO,b. 40-60,2021,100
CAJATAMBO,c. >60,2020,7
CAJATAMBO,c. >60,2021,85
CALCA,a. <40,2020,162
CALCA,a. <40,2021,663
CALCA,b. 40-60,2020,111
CALCA,b. 40-60,2021,423
CALCA,c. >60,2020,55
CALCA,c. >60,2021,187
CALLAO,a. <40,2020,19316
CALLAO,a. <40,2021,30170
CALLAO,b. 40-60,2020,14101
CALLAO,b. 40-60,2021,18817
CALLAO,c. >60,2020,7854
CALLAO,c. >60,2021,9731
CAMANA,a. <40,2020,668
CAMANA,a. <40,2021,1099
CAMANA,b. 40-60,2020,497
CAMANA,b. 40-60,2021,845
CAMANA,c. >60,2020,222
CAMANA,c. >60,2021,384
CANAS,a. <40,2020,74
CANAS,a. <40,2021,301
CANAS,b. 40-60,2020,50
CANAS,b. 40-60,2021,253
CANAS,c. >60,2020,12
CANAS,c. >60,2021,128
CANCHIS,a. <40,2020,634
CANCHIS,a. <40,2021,1734
CANCHIS,b. 40-60,2020,445
CANCHIS,b. 40-60,2021,1200
CANCHIS,c. >60,2020,218
CANCHIS,c. >60,2021,661
CANDARAVE,a. <40,2020,57
CANDARAVE,a. <40,2021,42
CANDARAVE,b. 40-60,2020,49
CANDARAVE,b. 40-60,2021,36
CANDARAVE,c. >60,2020,27
CANDARAVE,c. >60,2021,31
CANGALLO,a. <40,2020,115
CANGALLO,a. <40,2021,310
CANGALLO,b. 40-60,2020,76
CANGALLO,b. 40-60,2021,225
CANGALLO,c. >60,2020,36
CANGALLO,c. >60,2021,169
CANTA,a. <40,2020,177
CANTA,a. <40,2021,314
CANTA,b. 40-60,2020,117
CANTA,b. 40-60,2021,198
CANTA,c. >60,2020,83
CANTA,c. >60,2021,92
CARABAYA,a. <40,2020,324
CARABAYA,a. <40,2021,637
CARABAYA,b. 40-60,2020,180
CARABAYA,b. 40-60,2021,371
CARABAYA,c. >60,2020,29
CARABAYA,c. >60,2021,130
CARAVELI,a. <40,2020,390
CARAVELI,a. <40,2021,1051
CARAVELI,b. 40-60,2020,270
CARAVELI,b. 40-60,2021,691
CARAVELI,c. >60,2020,103
CARAVELI,c. >60,2021,268
CARHUAZ,a. <40,2020,307
CARHUAZ,a. <40,2021,556
CARHUAZ,b. 40-60,2020,151
CARHUAZ,b. 40-60,2021,359
CARHUAZ,c. >60,2020,91
CARHUAZ,c. >60,2021,234
CARLOS FERMIN FITZCARRALD,a. <40,2020,32
CARLOS FERMIN FITZCARRALD,a. <40,2021,43
CARLOS FERMIN FITZCARRALD,b. 40-60,2020,13
CARLOS FERMIN FITZCARRALD,b. 40-60,2021,21
CARLOS FERMIN FITZCARRALD,c. >60,2020,10
CARLOS FERMIN FITZCARRALD,c. >60,2021,24
CASMA,a. <40,2020,429
CASMA,a. <40,2021,828
CASMA,b. 40-60,2020,302
CASMA,b. 40-60,2021,610
CASMA,c. >60,2020,228
CASMA,c. >60,2021,316
CASTILLA,a. <40,2020,269
CASTILLA,a. <40,2021,895
CASTILLA,b. 40-60,2020,183
CASTILLA,b. 40-60,2021,668
CASTILLA,c. >60,2020,106
CASTILLA,c. >60,2021,303
CASTROVIRREYNA,a. <40,2020,125
CASTROVIRREYNA,a. <40,2021,138
CASTROVIRREYNA,b. 40-60,2020,48
CASTROVIRREYNA,b. 40-60,2021,111
CASTROVIRREYNA,c. >60,2020,20
CASTROVIRREYNA,c. >60,2021,55
CAYLLOMA,a. <40,2020,846
CAYLLOMA,a. <40,2021,1806
CAYLLOMA,b. 40-60,2020,620
CAYLLOMA,b. 40-60,2021,1300
CAYLLOMA,c. >60,2020,319
CAYLLOMA,c. >60,2021,690
CAÑETE,a. <40,2020,3843
CAÑETE,a. <40,2021,1661
CAÑETE,b. 40-60,2020,2346
CAÑETE,b. 40-60,2021,1002
CAÑETE,c. >60,2020,1154
CAÑETE,c. >60,2021,459
CELENDIN,a. <40,2020,229
CELENDIN,a. <40,2021,636
CELENDIN,b. 40-60,2020,114
CELENDIN,b. 40-60,2021,409
CELENDIN,c. >60,2020,80
CELENDIN,c. >60,2021,252
CHACHAPOYAS,a. <40,2020,1250
